group,year,학폭피해경험 무,학폭피해경험 유
초4,2016,96.88571429,3.114285714
초4,2018,97.07142857,2.928571429
초4,2020,97.12857143,2.871428571
초4,2022,94.45,5.55
초5,2016,96.94285714,3.057142857
초5,2018,97.67142857,2.328571429
초5,2020,97.58571429,2.414285714
초5,2022,94.28333333,5.716666667
초6,2016,97.77142857,2.228571429
초6,2018,97.8,2.2
초6,2020,97.94285714,2.057142857
초6,2022,94.55,5.45
중1,2016,97.95714286,2.042857143
중1,2018,97.47142857,2.528571429
중1,2020,98.68571429,1.314285714
중1,2022,94.73333333,5.266666667
중2,2016,97.78571429,2.214285714
중2,2018,97.18571429,2.814285714
중2,2020,98.68571429,1.314285714
중2,2022,95.08333333,4.916666667
중3,2016,98.04285714,1.957142857
중3,2018,98.18571429,1.814285714
중3,2020,98.67142857,1.328571429
중3,2022,96.98333333,3.016666667
고1,2016,98,2
고1,2018,98.78571429,1.214285714
고1,2020,99.14285714,0.857142857
고1,2022,97.91666667,2.083333333
고2,2016,97.8,2.2
고2,2018,98.04285714,1.957142857
고2,2020,99.45714286,0.542857143
고2,2022,97.9,2.1
고3,2016,98.44285714,1.557142857
고3,2018,98.52857143,1.471428571
고3,2020,99.22857143,0.771428571
고3,2022,98.73333333,1.266666667
